开始时间,结束时间,粒度,云环境,服务器ID,服务器名称,服务器当前使用功率(W),CPU温度(℃)
2023-01-18 02:30:00,2023-01-18 02:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,677,55.5
2023-01-18 02:25:00,2023-01-18 02:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,674,54.25
2023-01-18 02:20:00,2023-01-18 02:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,681,55.25
2023-01-18 02:15:00,2023-01-18 02:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,54.75
2023-01-18 02:10:00,2023-01-18 02:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,54.25
2023-01-18 02:05:00,2023-01-18 02:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,664,54.0
2023-01-18 02:00:00,2023-01-18 02:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,660,53.25
2023-01-18 01:55:00,2023-01-18 02:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,54.5
2023-01-18 01:50:00,2023-01-18 01:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,675,54.5
2023-01-18 01:45:00,2023-01-18 01:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,667,54.0
2023-01-18 01:40:00,2023-01-18 01:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,674,54.5
2023-01-18 01:35:00,2023-01-18 01:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,672,53.5
2023-01-18 01:30:00,2023-01-18 01:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,667,54.5
2023-01-18 01:25:00,2023-01-18 01:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,672,54.5
2023-01-18 01:20:00,2023-01-18 01:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,662,53.75
2023-01-18 01:15:00,2023-01-18 01:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,670,53.25
2023-01-18 01:10:00,2023-01-18 01:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,671,54.0
2023-01-18 01:05:00,2023-01-18 01:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,664,53.75
2023-01-18 01:00:00,2023-01-18 01:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,674,54.0
2023-01-18 00:55:00,2023-01-18 01:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,54.25
2023-01-18 00:50:00,2023-01-18 00:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,53.5
2023-01-18 00:45:00,2023-01-18 00:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,662,53.75
2023-01-18 00:40:00,2023-01-18 00:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,670,54.25
2023-01-18 00:35:00,2023-01-18 00:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,53.75
2023-01-18 00:30:00,2023-01-18 00:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,660,53.25
2023-01-18 00:25:00,2023-01-18 00:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,667,53.75
2023-01-18 00:20:00,2023-01-18 00:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,53.5
2023-01-18 00:15:00,2023-01-18 00:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,673,55.75
2023-01-18 00:10:00,2023-01-18 00:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,659,53.75
2023-01-18 00:05:00,2023-01-18 00:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,54.25
2023-01-18 00:00:00,2023-01-18 00:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,668,53.75
2023-01-17 23:55:00,2023-01-18 00:00:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,663,53.75
2023-01-17 23:50:00,2023-01-17 23:55:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,53.75
2023-01-17 23:45:00,2023-01-17 23:50:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,54.5
2023-01-17 23:40:00,2023-01-17 23:45:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,669,54.25
2023-01-17 23:35:00,2023-01-17 23:40:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,53.75
2023-01-17 23:30:00,2023-01-17 23:35:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,666,54.75
2023-01-17 23:25:00,2023-01-17 23:30:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,607,51.0
2023-01-17 23:20:00,2023-01-17 23:25:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.0
2023-01-17 23:15:00,2023-01-17 23:20:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.25
2023-01-17 23:10:00,2023-01-17 23:15:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,50.5
2023-01-17 23:05:00,2023-01-17 23:10:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,609,51.75
2023-01-17 23:00:00,2023-01-17 23:05:00,5 分钟,XAR03,93a40255-817c-4e94-b976-2193b7c8e807,8500-B0503-01,610,50.25
